Date,Close,High,Low,Open,Volume,Target,SMA_5,SMA_10,EMA_5,EMA_10,RSI
2024-07-22,9749.8798828125,9798.14661490563,9749.8798828125,9774.013248859066,31285300,9822.2802734375,9667.8263671875,9696.786328125,9710.939820661484,9672.287067862238,58.333326308140144
2024-07-23,9822.2802734375,9846.413640202702,9774.013539907095,9846.413640202702,39321100,9725.74609375,9711.2666015625,9706.43974609375,9748.053304920157,9699.558559785013,57.4467883605081
2024-07-24,9725.74609375,9822.279553737593,9725.74609375,9774.012823743797,24658000,9942.9462890625,9764.3599609375,9704.0263671875,9740.617567863439,9704.319929596828,61.36361964250898
2024-07-25,9942.9462890625,9942.9462890625,9846.412829945388,9870.546194724666,98088100,9967.080078125,9802.9732421875,9725.74638671875,9808.060474929793,9747.706540408768,64.58330171993734
2024-07-26,9967.080078125,10039.480175544793,9942.946712318402,10015.346809738196,75565800,9894.6796875,9841.5865234375,9749.87978515625,9861.067009328195,9787.592638175356,62.22218425491966
2024-07-29,9894.6796875,10063.613243140244,9822.27959222561,10039.479878048782,69092500,9822.2802734375,9870.546484375,9769.18642578125,9872.271235385464,9807.063010779837,57.4467883605081
2024-07-30,9822.2802734375,9942.947107263513,9822.2802734375,9942.947107263513,32122900,9918.8125,9870.546484375,9790.90654296875,9855.60758140281,9809.829785808502,53.06123123118163
2024-07-31,9918.8125,9991.212591240876,9870.545772506082,9991.212591240876,82519900,10015.3466796875,9909.159765625,9836.75986328125,9876.675887601874,9829.644824752411,57.692283748387226
2024-08-01,10015.3466796875,10015.3466796875,9846.41312123494,9846.41312123494,61176200,9846.4130859375,9923.63984375,9863.30654296875,9922.89948496375,9863.408798376973,60.7142831335966
2024-08-02,9846.4130859375,9991.213278377758,9846.4130859375,9918.813182157628,55699900,9532.6796875,9899.5064453125,9870.546484375,9897.404018621666,9860.318668842523,54.838690729097934
2024-08-05,9532.6796875,9798.146716772151,9532.6796875,9653.34651898734,126328300,9653.3466796875,9827.1064453125,9848.82646484375,9775.829241581112,9800.747944962064,47.88734481443845
2024-08-06,9653.3466796875,9725.746779785157,9605.079946289063,9725.746779785157,78473900,9749.8798828125,9793.3197265625,9831.93310546875,9735.00172094991,9773.947714912143,55.71429479831272
2024-08-07,9749.8798828125,9749.8798828125,9653.346418626237,9653.346418626237,52327400,9870.5458984375,9759.533203125,9834.346484375,9739.96110823744,9769.57174543948,50.0
2024-08-08,9870.5458984375,9870.5458984375,9725.745714108343,9798.145806272922,54162100,9798.146484375,9730.573046875,9827.1064453125,9783.48937163746,9787.930682348211,53.030264943173904
2024-08-09,9798.146484375,9894.679947275246,9749.879752924877,9870.546581550185,47062400,9846.4130859375,9720.9197265625,9810.2130859375,9788.375075883308,9789.788100898535,51.47058560995161
2024-08-12,9846.4130859375,9846.4130859375,9725.746258903951,9749.879624310663,40364100,9942.9462890625,9783.66640625,9805.38642578125,9807.721079234707,9800.083552723801,50.746252430937226
2024-08-13,9942.9462890625,9942.9462890625,9822.279465166112,9894.679559503944,55207100,9846.4130859375,9841.586328125,9817.45302734375,9852.796149177306,9826.058595694472,56.716426924774986
2024-08-14,9846.4130859375,9942.946547564337,9846.4130859375,9942.946547564337,47999100,9870.5458984375,9860.89296875,9810.2130859375,9850.668461430705,9829.759412102296,46.77419565376301
2024-08-15,9870.5458984375,9942.945990602078,9822.279170327782,9846.41253438264,33396600,9967.080078125,9860.89296875,9795.7330078125,9857.294273766303,9837.175136890515,46.774160915039076
